N,Expected Events (10%),Cutoff,Excess,P(X≥cutoff),Decision
20,2.0,5,3.0,0.0432,Pause if events ≥ 5
21,2.1,5,2.9,0.0522,Pause if events ≥ 5
22,2.2,5,2.8,0.0621,Pause if events ≥ 5
23,2.3,5,2.7,0.0731,Pause if events ≥ 5
24,2.4,5,2.6,0.0851,Pause if events ≥ 5
25,2.5,5,2.5,0.0980,Pause if events ≥ 5
26,2.6,6,3.4,0.0399,Pause if events ≥ 6
27,2.7,6,3.3,0.0471,Pause if events ≥ 6
28,2.8,6,3.2,0.0550,Pause if events ≥ 6
29,2.9,6,3.1,0.0637,Pause if events ≥ 6
30,3.0,6,3.0,0.0732,Pause if events ≥ 6
31,3.1,6,2.9,0.0834,Pause if events ≥ 6
32,3.2,6,2.8,0.0944,Pause if events ≥ 6
33,3.3,7,3.7,0.0417,Pause if events ≥ 7
34,3.4,7,3.6,0.0481,Pause if events ≥ 7
35,3.5,7,3.5,0.0552,Pause if events ≥ 7
36,3.6,7,3.4,0.0628,Pause if events ≥ 7
37,3.7,7,3.3,0.0711,Pause if events ≥ 7
38,3.8,7,3.2,0.0800,Pause if events ≥ 7
39,3.9,7,3.1,0.0894,Pause if events ≥ 7
40,4.0,7,3.0,0.0995,Pause if events ≥ 7
41,4.1,8,3.9,0.0477,Pause if events ≥ 8
42,4.2,8,3.8,0.0539,Pause if events ≥ 8
43,4.3,8,3.7,0.0607,Pause if events ≥ 8
44,4.4,8,3.6,0.0679,Pause if events ≥ 8
45,4.5,8,3.5,0.0757,Pause if events ≥ 8
46,4.6,8,3.4,0.0840,Pause if events ≥ 8
47,4.7,8,3.3,0.0928,Pause if events ≥ 8
48,4.8,9,4.2,0.0463,Pause if events ≥ 9
49,4.9,9,4.1,0.0519,Pause if events ≥ 9
50,5.0,9,4.0,0.0579,Pause if events ≥ 9
51,5.1,9,3.9,0.0643,Pause if events ≥ 9
52,5.2,9,3.8,0.0712,Pause if events ≥ 9
53,5.3,9,3.7,0.0785,Pause if events ≥ 9
54,5.4,9,3.6,0.0862,Pause if events ≥ 9
55,5.5,9,3.5,0.0944,Pause if events ≥ 9
56,5.6,10,4.4,0.0494,Pause if events ≥ 10
57,5.7,10,4.3,0.0548,Pause if events ≥ 10
58,5.8,10,4.2,0.0605,Pause if events ≥ 10
59,5.9,10,4.1,0.0666,Pause if events ≥ 10
